Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,,2.61000003814697E+01,2.43999996185303E+01,2.42000007629395E+01,2.33999996185303E+01,2.42000007629395E+01,1.85000000000000E+01,2.06000003814697E+01,2.06000003814697E+01,2.07000007629395E+01,2.10000000000000E+01,2.05000000000000E+01,1.92999992370605E+01,1.82999992370605E+01,1.73999996185303E+01,1.70000000000000E+01,,1.56999998092651E+01,1.46000003814697E+01,1.45000000000000E+01,
Canada,CAN,4.30000019073486E+00,4.09999990463257E+00,4.00000000000000E+00,3.79999995231628E+00,3.79999995231628E+00,3.59999990463257E+00,3.29999995231628E+00,2.79999995231628E+00,2.79999995231628E+00,2.79999995231628E+00,2.59999990463257E+00,2.70000004768372E+00,2.70000004768372E+00,2.50000000000000E+00,2.40000009536743E+00,2.40000009536743E+00,2.20000004768372E+00,2.20000004768372E+00,2.09999990463257E+00,2.20000004768372E+00,2.09999990463257E+00
China,CHN,4.95000000000000E+01,4.85000000000000E+01,4.77000007629395E+01,4.74000015258789E+01,4.70000000000000E+01,4.69000015258789E+01,4.62999992370605E+01,4.52000007629395E+01,4.40999984741211E+01,4.40000009536743E+00,4.19999980926514E+00,3.90000009536743E+00,3.70000004768372E+00,3.50000000000000E+00,3.40000009536743E+00,3.00000000000000E+00,2.90000009536743E+00,2.50000000000000E+00,,,
France,FRA,5.19999980926514E+00,4.90000009536743E+00,4.80000019073486E+00,4.59999990463257E+00,4.40000009536743E+00,4.09999990463257E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.09999990463257E+00,3.79999995231628E+00,3.59999990463257E+00,3.59999990463257E+00,3.40000009536743E+00,2.70000004768372E+00,2.90000009536743E+00,2.90000009536743E+00,2.79999995231628E+00,2.79999995231628E+00,3.00000000000000E+00,2.79999995231628E+00
Germany,DEU,3.29999995231628E+00,3.20000004768372E+00,2.90000009536743E+00,2.90000009536743E+00,2.79999995231628E+00,2.79999995231628E+00,2.50000000000000E+00,2.50000000000000E+00,2.40000009536743E+00,2.29999995231628E+00,2.29999995231628E+00,2.29999995231628E+00,2.20000004768372E+00,2.20000004768372E+00,1.70000004768372E+00,1.60000002384186E+00,1.50000000000000E+00,1.50000000000000E+00,1.39999997615814E+00,1.29999995231628E+00,1.29999995231628E+00
India,IND,6.05000000000000E+01,,,,,,5.99000015258789E+01,,,,,5.57999992370605E+01,,,,,5.10999984741211E+01,,4.70999984741211E+01,4.97000007629395E+01,
Italy,ITA,6.90000009536743E+00,6.59999990463257E+00,6.09999990463257E+00,5.90000009536743E+00,5.80000019073486E+00,5.19999980926514E+00,5.00000000000000E+00,5.00000000000000E+00,4.69999980926514E+00,4.50000000000000E+00,3.90000009536743E+00,4.00000000000000E+00,4.09999990463257E+00,3.79999995231628E+00,3.50000000000000E+00,3.50000000000000E+00,3.59999990463257E+00,3.50000000000000E+00,3.50000000000000E+00,3.40000009536743E+00,3.50000000000000E+00
Japan,JPN,5.80000019073486E+00,5.69999980926514E+00,5.50000000000000E+00,5.30000019073486E+00,5.30000019073486E+00,5.19999980926514E+00,5.09999990463257E+00,4.90000009536743E+00,4.69999980926514E+00,4.59999990463257E+00,4.50000000000000E+00,4.40000009536743E+00,4.30000019073486E+00,4.19999980926514E+00,4.19999980926514E+00,4.19999980926514E+00,4.00000000000000E+00,,3.79999995231628E+00,3.70000004768372E+00,
