Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,,,,,,,,,1.14120399475098E+02,1.07328437805176E+02,1.07351440429688E+02,1.06214538574219E+02,,1.00838150024414E+02,1.02601608276367E+02,1.02123626708984E+02,,9.98542404174805E+01,9.95126724243164E+01,1.06148529052734E+02,
Canada,CAN,1.04935859680176E+02,1.04644721984863E+02,1.05008758544922E+02,,1.04791519165039E+02,1.02829277038574E+02,1.02514297485352E+02,,,,,9.98946228027344E+01,1.00362342834473E+02,1.00514610290527E+02,1.00946472167969E+02,1.01421371459961E+02,1.01145957946777E+02,1.02322639465332E+02,1.10117797851563E+02,1.10037666320801E+02,
China,CHN,4.28930587768555E+01,4.70163497924805E+01,5.18380584716797E+01,5.45272293090820E+01,,,,5.89693603515625E+01,,6.06698913574219E+01,,,6.83919067382813E+01,7.27854690551758E+01,7.73605117797852E+01,8.17707977294922E+01,8.47852630615234E+01,8.91519927978516E+01,9.25318908691406E+01,9.71431121826172E+01,9.54448928833008E+01
France,FRA,1.14077186584473E+02,1.13690528869629E+02,1.12232810974121E+02,1.11031372070313E+02,1.10072517395020E+02,1.09272209167480E+02,1.08609252929688E+02,1.07937591552734E+02,1.07802917480469E+02,1.08510498046875E+02,1.08041007995605E+02,1.12352432250977E+02,1.12065086364746E+02,1.11837440490723E+02,1.11618568420410E+02,1.11220527648926E+02,1.11663803100586E+02,1.11466529846191E+02,1.11736801147461E+02,1.11336097717285E+02,1.11234573364258E+02
Germany,DEU,1.04085083007813E+02,1.03373001098633E+02,1.03085700988770E+02,1.03100616455078E+02,9.79287261962891E+01,9.82266693115234E+01,9.91832427978516E+01,9.99970932006835E+01,1.00832977294922E+02,1.00921249389648E+02,1.01170326232910E+02,1.01121276855469E+02,1.01550712585449E+02,1.01018371582031E+02,1.02007316589355E+02,1.00441741943359E+02,1.01220367431641E+02,1.00887062072754E+02,9.99673995971680E+01,9.96909866333008E+01,9.95182800292969E+01
India,IND,3.54756889343262E+01,3.52257499694824E+01,3.53622016906738E+01,3.64902915954590E+01,,3.53511009216309E+01,3.70980300903320E+01,3.75351409912109E+01,4.00189590454102E+01,4.42103004455566E+01,4.58478393554688E+01,4.87294616699219E+01,4.99667396545410E+01,5.30442886352539E+01,5.67528114318848E+01,5.72707405090332E+01,6.08532295227051E+01,6.44156799316406E+01,6.73730010986328E+01,6.92303390502930E+01,
Italy,ITA,8.75472564697266E+01,8.86754226684570E+01,8.96707992553710E+01,9.02548599243164E+01,9.01960830688477E+01,9.13795928955078E+01,9.06690368652344E+01,9.42834625244141E+01,9.55618209838867E+01,9.68887405395508E+01,9.77492904663085E+01,9.79448394775391E+01,9.86013412475585E+01,9.90938415527344E+01,9.97920913696289E+01,1.00200149536133E+02,1.01488853454590E+02,1.01674606323242E+02,1.00658668518066E+02,1.01381416320801E+02,
Japan,JPN,1.01835220336914E+02,1.01623199462891E+02,,,1.01699012756348E+02,1.01828590393066E+02,1.02425437927246E+02,1.03053489685059E+02,1.03102027893066E+02,1.02233779907227E+02,1.01427680969238E+02,1.01106658935547E+02,1.01087089538574E+02,1.00518341064453E+02,1.00705291748047E+02,1.01052749633789E+02,1.01696029663086E+02,1.01918281555176E+02,1.01999221801758E+02,1.02129112243652E+02,
