Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,8.00000000000000E+01,7.89000015258789E+01,7.55999984741210E+01,7.63000030517578E+01,7.56999969482422E+01,7.51999969482422E+01,7.40000000000000E+01,7.29000015258789E+01,7.31999969482422E+01,7.28000030517578E+01,7.40000000000000E+01,7.50999984741210E+01,7.35000000000000E+01,7.29000015258789E+01,7.25999984741210E+01,7.20000000000000E+01,7.15000000000000E+01,7.14000015258789E+01,7.10999984741210E+01,7.08000030517578E+01,7.05999984741210E+01
Canada,CAN,6.59000015258789E+01,6.49000015258789E+01,6.40999984741210E+01,6.37000007629395E+01,6.35000000000000E+01,6.53000030517578E+01,6.59000015258789E+01,6.60000000000000E+01,6.76999969482422E+01,6.81999969482422E+01,6.75999984741210E+01,6.60000000000000E+01,6.63000030517578E+01,6.75000000000000E+01,6.81999969482422E+01,6.58000030517578E+01,6.45000000000000E+01,6.46999969482422E+01,6.34000015258789E+01,6.35000000000000E+01,6.39000015258789E+01
China,CHN,7.60999984741210E+01,7.55000000000000E+01,7.45000000000000E+01,7.33000030517578E+01,7.18000030517578E+01,7.00999984741210E+01,6.85000000000000E+01,6.65000000000000E+01,6.46999969482422E+01,6.30000000000000E+01,6.15000000000000E+01,6.05000000000000E+01,5.97000007629395E+01,5.92000007629395E+01,5.89000015258789E+01,5.84000015258789E+01,5.75000000000000E+01,5.80999984741211E+01,5.85000000000000E+01,5.85999984741211E+01,5.85999984741211E+01
France,FRA,4.00999984741211E+01,3.92999992370605E+01,3.97000007629395E+01,3.85999984741211E+01,3.77000007629395E+01,3.97999992370605E+01,3.89000015258789E+01,3.85000000000000E+01,3.97999992370605E+01,3.99000015258789E+01,4.00999984741211E+01,4.20999984741211E+01,4.25000000000000E+01,4.25999984741211E+01,4.29000015258789E+01,4.35000000000000E+01,4.30999984741211E+01,4.19000015258789E+01,4.12000007629395E+01,4.14000015258789E+01,4.15999984741211E+01
Germany,DEU,5.90999984741211E+01,5.72000007629395E+01,5.67999992370605E+01,5.59000015258789E+01,5.64000015258789E+01,5.59000015258789E+01,5.52999992370605E+01,5.45000000000000E+01,5.22999992370605E+01,5.00000000000000E+01,5.12000007629395E+01,5.39000015258789E+01,5.45999984741211E+01,5.55999984741211E+01,5.62999992370605E+01,5.57000007629395E+01,5.47999992370605E+01,5.49000015258789E+01,5.27999992370605E+01,5.29000015258789E+01,5.29000015258789E+01
India,IND,6.75000000000000E+01,6.70000000000000E+01,6.65000000000000E+01,6.60000000000000E+01,6.55000000000000E+01,6.50000000000000E+01,6.45000000000000E+01,6.45999984741210E+01,6.45999984741210E+01,6.46999969482422E+01,6.46999969482422E+01,6.48000030517578E+01,6.27999992370605E+01,6.07000007629395E+01,5.87000007629395E+01,5.65999984741211E+01,5.45999984741211E+01,5.30000000000000E+01,5.14000015258789E+01,5.12999992370605E+01,5.12000007629395E+01
Italy,ITA,4.47999992370605E+01,4.45999984741211E+01,4.39000015258789E+01,4.30999984741211E+01,4.39000015258789E+01,4.25999984741211E+01,4.24000015258789E+01,4.05000000000000E+01,3.97999992370605E+01,3.92000007629395E+01,4.15000000000000E+01,3.89000015258789E+01,3.79000015258789E+01,3.64000015258789E+01,3.62999992370605E+01,3.42999992370605E+01,3.32999992370605E+01,3.16000003814697E+01,3.29000015258789E+01,3.30999984741211E+01,3.34000015258789E+01
Japan,JPN,4.79000015258789E+01,4.79000015258789E+01,4.87000007629395E+01,4.92000007629395E+01,4.85000000000000E+01,4.74000015258789E+01,4.70999984741211E+01,4.64000015258789E+01,4.60999984741211E+01,4.54000015258789E+01,4.40999984741211E+01,4.42000007629395E+01,4.45999984741211E+01,4.50000000000000E+01,4.44000015258789E+01,4.29000015258789E+01,4.24000015258789E+01,4.20000000000000E+01,4.20999984741211E+01,4.22999992370605E+01,4.20999984741211E+01
