Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,6.33200000000000E+01,6.38110000000000E+01,6.43190000000000E+01,6.48320000000000E+01,6.53370000000000E+01,6.58230000000000E+01,6.62810000000000E+01,6.67040000000000E+01,6.70950000000000E+01,6.74570000000000E+01,6.77920000000000E+01,6.81050000000000E+01,6.84010000000000E+01,6.86880000000000E+01,6.89720000000000E+01,6.92590000000000E+01,6.95500000000000E+01,6.98460000000000E+01,7.01430000000000E+01,7.04400000000000E+01,7.07370000000000E+01
Canada,CAN,7.49400000000000E+01,7.50800000000000E+01,7.54500000000000E+01,7.57000000000000E+01,7.59600000000000E+01,7.62000000000000E+01,7.67000000000000E+01,7.70000000000000E+01,7.72000000000000E+01,7.74000000000000E+01,7.78000000000000E+01,7.80000000000000E+01,7.81700000000000E+01,7.84100000000000E+01,7.86400000000000E+01,7.89700000000000E+01,7.93300000000000E+01,7.92810000000000E+01,7.95400000000000E+01,7.97870000000000E+01,8.00210000000000E+01
China,CHN,6.79370000000000E+01,6.81430000000000E+01,6.84130000000000E+01,6.87500000000000E+01,6.91490000000000E+01,6.96020000000000E+01,7.00890000000000E+01,7.05870000000000E+01,7.10700000000000E+01,7.15180000000000E+01,7.19180000000000E+01,7.22650000000000E+01,7.25600000000000E+01,7.28180000000000E+01,7.30540000000000E+01,7.32740000000000E+01,7.34840000000000E+01,7.36890000000000E+01,7.38900000000000E+01,7.40910000000000E+01,7.42930000000000E+01
France,FRA,7.36000000000000E+01,7.38000000000000E+01,7.41000000000000E+01,7.45000000000000E+01,7.48000000000000E+01,7.50000000000000E+01,7.53000000000000E+01,7.55000000000000E+01,7.57000000000000E+01,7.57000000000000E+01,7.67000000000000E+01,7.67000000000000E+01,7.73000000000000E+01,7.76000000000000E+01,7.78000000000000E+01,7.80000000000000E+01,7.82000000000000E+01,7.87000000000000E+01,7.87000000000000E+01,7.90000000000000E+01,7.93000000000000E+01
Germany,DEU,7.31000000000000E+01,7.33000000000000E+01,7.36000000000000E+01,7.40000000000000E+01,7.45000000000000E+01,7.48000000000000E+01,7.50000000000000E+01,7.55000000000000E+01,7.54000000000000E+01,7.56000000000000E+01,7.59000000000000E+01,7.62000000000000E+01,7.64000000000000E+01,7.69000000000000E+01,7.72000000000000E+01,7.73000000000000E+01,7.75000000000000E+01,7.84000000000000E+01,7.86000000000000E+01,7.86000000000000E+01,7.86000000000000E+01
India,IND,5.93680000000000E+01,5.97990000000000E+01,6.02200000000000E+01,6.06320000000000E+01,6.10360000000000E+01,6.14300000000000E+01,6.18160000000000E+01,6.21940000000000E+01,6.25670000000000E+01,6.29360000000000E+01,6.33000000000000E+01,6.36590000000000E+01,6.40120000000000E+01,6.43580000000000E+01,6.46970000000000E+01,6.50280000000000E+01,6.53520000000000E+01,6.56710000000000E+01,6.59850000000000E+01,6.62970000000000E+01,6.66060000000000E+01
Italy,ITA,7.48000000000000E+01,7.50000000000000E+01,7.54000000000000E+01,7.58000000000000E+01,7.60000000000000E+01,7.64000000000000E+01,7.69000000000000E+01,7.72000000000000E+01,7.74000000000000E+01,7.73000000000000E+01,7.80000000000000E+01,7.81000000000000E+01,7.86000000000000E+01,7.88000000000000E+01,7.89000000000000E+01,7.91000000000000E+01,7.95000000000000E+01,7.97000000000000E+01,7.98000000000000E+01,8.03000000000000E+01,8.03000000000000E+01
Japan,JPN,7.65700000000000E+01,7.63900000000000E+01,7.70100000000000E+01,7.71900000000000E+01,7.71600000000000E+01,7.74000000000000E+01,7.77200000000000E+01,7.81000000000000E+01,7.81000000000000E+01,7.83600000000000E+01,7.86400000000000E+01,7.85300000000000E+01,7.90000000000000E+01,7.91900000000000E+01,7.92900000000000E+01,7.95900000000000E+01,7.95500000000000E+01,7.94400000000000E+01,7.99400000000000E+01,8.02100000000000E+01,8.05000000000000E+01
