Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,,,,,,,,,1.05918266296387E+02,9.65988235473633E+01,9.75577926635742E+01,9.65186996459960E+01,,8.97616500854492E+01,9.11272964477539E+01,9.14506530761719E+01,,9.08514862060547E+01,9.17884597778320E+01,9.78069686889648E+01,
Canada,CAN,1.05468986511230E+02,1.04559707641602E+02,1.04854309082031E+02,,1.05434448242188E+02,1.01104553222656E+02,1.00578109741211E+02,,,,,1.02158058166504E+02,1.02433181762695E+02,1.02783737182617E+02,1.03388320922852E+02,1.03847618103027E+02,1.03591072082520E+02,1.04449577331543E+02,1.10410140991211E+02,1.09830871582031E+02,
China,CHN,5.16544685363770E+01,5.51556282043457E+01,5.93625183105469E+01,6.20397911071777E+01,,,,6.27056198120117E+01,,6.37452507019042E+01,,,6.84937591552734E+01,7.23937301635742E+01,7.60997619628906E+01,7.95645217895508E+01,8.50425109863281E+01,8.90120697021484E+01,9.17987594604492E+01,9.54456634521484E+01,9.33531112670898E+01
France,FRA,1.14323951721191E+02,1.14730957031250E+02,1.13098571777344E+02,1.12005859375000E+02,1.10956642150879E+02,1.09830108642578E+02,1.08939270019531E+02,1.07826026916504E+02,1.07620613098145E+02,1.07855491638184E+02,1.07806343078613E+02,1.12198532104492E+02,1.12083587646484E+02,1.11837257385254E+02,1.11632240295410E+02,1.11138343811035E+02,1.11004631042480E+02,1.10988906860352E+02,1.11596878051758E+02,1.10562072753906E+02,1.10079116821289E+02
Germany,DEU,1.07217323303223E+02,1.06321609497070E+02,1.05713447570801E+02,1.05219017028809E+02,9.99831466674805E+01,9.99402465820313E+01,1.00471702575684E+02,1.01253326416016E+02,1.02409500122070E+02,1.03090362548828E+02,1.03552673339844E+02,1.03828933715820E+02,1.04772460937500E+02,1.03937522888184E+02,1.05095191955566E+02,1.06078048706055E+02,1.06616088867188E+02,1.06264503479004E+02,1.05657882690430E+02,1.05128593444824E+02,1.05199073791504E+02
India,IND,5.54538612365723E+01,5.51181716918945E+01,5.48620796203613E+01,5.48772010803223E+01,,5.05120201110840E+01,5.24392089843750E+01,5.25647888183594E+01,5.39605293273926E+01,5.49967308044434E+01,5.68340911865234E+01,5.91618995666504E+01,5.97549705505371E+01,6.15116806030273E+01,6.40055694580078E+01,6.20767402648926E+01,6.54919815063477E+01,6.82303466796875E+01,7.07766036987305E+01,6.85976791381835E+01,
Italy,ITA,8.77456665039063E+01,8.89566116333008E+01,8.96460723876953E+01,9.02862014770508E+01,9.05919265747070E+01,9.19009780883789E+01,9.42100982666016E+01,9.64279708862305E+01,9.89223175048828E+01,9.94057617187500E+01,9.83103179931641E+01,9.86156768798828E+01,9.94220275878906E+01,1.00131927490234E+02,1.00901817321777E+02,1.01208168029785E+02,1.02897796630859E+02,1.03607192993164E+02,1.02642646789551E+02,1.03361892700195E+02,
Japan,JPN,1.00290237426758E+02,1.00127632141113E+02,,,1.00343360900879E+02,1.00567169189453E+02,1.01270378112793E+02,1.02032783508301E+02,1.02268791198730E+02,1.01676200866699E+02,1.01071517944336E+02,1.00895568847656E+02,1.00879631042480E+02,1.00324546813965E+02,1.00583587646484E+02,1.00806327819824E+02,1.01527000427246E+02,1.01619789123535E+02,1.01624389648438E+02,1.01720787048340E+02,
