Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,1.45977000000000E+02,1.42733000000000E+02,1.39489000000000E+02,1.36245000000000E+02,1.32650000000000E+02,1.29055000000000E+02,1.25460000000000E+02,1.21864000000000E+02,1.18269000000000E+02,1.15954000000000E+02,1.13639000000000E+02,1.11324000000000E+02,1.09008000000000E+02,1.06693000000000E+02,1.04687000000000E+02,1.02682000000000E+02,1.00676000000000E+02,9.86700000000000E+01,9.66640000000000E+01,9.50710000000000E+01,9.34780000000000E+01
Canada,CAN,6.75830000000000E+01,6.69100000000000E+01,6.60440000000000E+01,6.32200000000000E+01,6.26900000000000E+01,6.15920000000000E+01,6.10770000000000E+01,5.93310000000000E+01,5.94890000000000E+01,5.82630000000000E+01,5.70190000000000E+01,5.70910000000000E+01,5.59360000000000E+01,5.54250000000000E+01,5.58890000000000E+01,5.47620000000000E+01,5.26500000000000E+01,5.22310000000000E+01,,,
China,CHN,1.09776000000000E+02,1.07932000000000E+02,1.06088000000000E+02,1.04245000000000E+02,1.01587000000000E+02,9.89290000000000E+01,9.62720000000000E+01,9.36140000000000E+01,9.09560000000000E+01,8.90580000000000E+01,8.71600000000000E+01,8.52620000000000E+01,8.33640000000000E+01,8.14650000000000E+01,8.00660000000000E+01,7.86660000000000E+01,7.72670000000000E+01,7.58670000000000E+01,7.44680000000000E+01,7.32190000000000E+01,7.19700000000000E+01
France,FRA,6.65160000000000E+01,6.59010000000000E+01,6.53900000000000E+01,6.33490000000000E+01,6.27160000000000E+01,6.21320000000000E+01,6.08360000000000E+01,6.11090000000000E+01,6.06740000000000E+01,6.00470000000000E+01,5.79290000000000E+01,5.67740000000000E+01,5.61750000000000E+01,5.48050000000000E+01,5.50120000000000E+01,5.53510000000000E+01,5.36300000000000E+01,5.25430000000000E+01,5.15910000000000E+01,5.05550000000000E+01,
Germany,DEU,7.10470000000000E+01,7.01120000000000E+01,6.89030000000000E+01,6.66060000000000E+01,6.43810000000000E+01,6.37810000000000E+01,6.29710000000000E+01,6.16670000000000E+01,6.12920000000000E+01,6.02540000000000E+01,5.81630000000000E+01,5.71970000000000E+01,5.56450000000000E+01,5.47300000000000E+01,5.42040000000000E+01,5.36740000000000E+01,5.27010000000000E+01,5.23260000000000E+01,,,
India,IND,2.16200000000000E+02,2.11276000000000E+02,2.06353000000000E+02,2.01429000000000E+02,1.98670000000000E+02,1.95910000000000E+02,1.93150000000000E+02,1.90391000000000E+02,1.87631000000000E+02,1.84592000000000E+02,1.81553000000000E+02,1.78514000000000E+02,1.75474000000000E+02,1.72435000000000E+02,1.68050000000000E+02,1.63666000000000E+02,1.59281000000000E+02,1.54897000000000E+02,1.50512000000000E+02,1.47519000000000E+02,1.44527000000000E+02
Italy,ITA,5.80620000000000E+01,5.77090000000000E+01,5.67100000000000E+01,5.39630000000000E+01,5.39440000000000E+01,5.10530000000000E+01,5.06650000000000E+01,4.96210000000000E+01,4.91710000000000E+01,4.77550000000000E+01,4.48830000000000E+01,4.40790000000000E+01,4.26980000000000E+01,4.19190000000000E+01,4.25360000000000E+01,4.16940000000000E+01,,,,,
Japan,JPN,4.99520000000000E+01,5.17060000000000E+01,4.91480000000000E+01,4.86850000000000E+01,4.89690000000000E+01,4.88610000000000E+01,4.75770000000000E+01,4.63620000000000E+01,4.52870000000000E+01,4.48950000000000E+01,4.52030000000000E+01,4.49400000000000E+01,4.42070000000000E+01,4.31640000000000E+01,4.26210000000000E+01,4.15640000000000E+01,4.13830000000000E+01,4.51560000000000E+01,3.97760000000000E+01,,
