Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,1.13999996185303E+01,1.13999996185303E+01,1.26000003814697E+01,1.43999996185303E+01,1.72000007629395E+01,1.82000007629395E+01,1.80000000000000E+01,1.77000007629395E+01,1.78999996185303E+01,1.90000000000000E+01,1.80000000000000E+01,1.93999996185303E+01,1.77000007629395E+01,1.67000007629395E+01,1.55000000000000E+01,1.77999992370605E+01,1.72000007629395E+01,1.51999998092651E+01,1.43999996185303E+01,1.46999998092651E+01,1.51999998092651E+01
Canada,CAN,1.60000000000000E+01,1.48999996185303E+01,1.53999996185303E+01,1.62999992370605E+01,1.51999998092651E+01,1.41000003814697E+01,1.26000003814697E+01,1.28000001907349E+01,1.38000001907349E+01,1.36999998092651E+01,1.35000000000000E+01,1.23000001907349E+01,1.16999998092651E+01,1.11000003814697E+01,1.15000000000000E+01,1.53000001907349E+01,1.48000001907349E+01,1.41000003814697E+01,1.43000001907349E+01,1.38000001907349E+01,1.33999996185303E+01
China,CHN,8.39999961853027E+00,8.89999961853027E+00,9.10000038146973E+00,9.19999980926514E+00,9.60000038146973E+00,9.60000038146973E+00,9.30000019073486E+00,9.39999961853027E+00,9.19999980926514E+00,8.89999961853027E+00,8.89999961853027E+00,8.60000038146973E+00,8.30000019073486E+00,8.00000000000000E+00,9.10000038146973E+00,9.30000019073486E+00,9.00000000000000E+00,9.30000019073486E+00,9.69999980926514E+00,1.01000003814697E+01,1.05000000000000E+01
France,FRA,2.82999992370605E+01,2.65000000000000E+01,2.72000007629395E+01,2.86000003814697E+01,2.58999996185303E+01,2.62000007629395E+01,2.05000000000000E+01,1.80000000000000E+01,1.90000000000000E+01,1.75000000000000E+01,1.98999996185303E+01,2.05000000000000E+01,2.12999992370605E+01,1.88999996185303E+01,1.83999996185303E+01,2.28999996185303E+01,2.26000003814697E+01,2.18999996185303E+01,2.37999992370605E+01,2.37000007629395E+01,2.38999996185303E+01
Germany,DEU,8.19999980926514E+00,8.19999980926514E+00,9.39999961853027E+00,1.01999998092651E+01,9.00000000000000E+00,8.69999980926514E+00,8.30000019073486E+00,8.30000019073486E+00,9.89999961853027E+00,1.06000003814697E+01,1.26000003814697E+01,1.51000003814697E+01,1.35000000000000E+01,1.16000003814697E+01,1.03999996185303E+01,1.08999996185303E+01,9.69999980926514E+00,8.39999961853027E+00,8.10000038146973E+00,7.80000019073486E+00,7.59999990463257E+00
India,IND,8.19999980926514E+00,8.89999961853027E+00,8.89999961853027E+00,9.60000038146973E+00,1.05000000000000E+01,1.01000003814697E+01,1.00000000000000E+01,1.05000000000000E+01,9.89999961853027E+00,9.00000000000000E+00,9.10000038146973E+00,9.89999961853027E+00,1.00000000000000E+01,8.89999961853027E+00,1.00000000000000E+01,9.69999980926514E+00,1.01999998092651E+01,1.03000001907349E+01,1.06999998092651E+01,1.03999996185303E+01,1.03999996185303E+01
Italy,ITA,3.15000000000000E+01,3.32999992370605E+01,3.45000000000000E+01,3.44000015258789E+01,3.35000000000000E+01,3.27999992370605E+01,3.12999992370605E+01,2.77000007629395E+01,2.71000003814697E+01,2.70000000000000E+01,2.46000003814697E+01,2.38999996185303E+01,2.16000003814697E+01,2.02999992370605E+01,2.12000007629395E+01,2.55000000000000E+01,2.77999992370605E+01,2.91000003814697E+01,3.52000007629395E+01,3.97000007629395E+01,4.40999984741211E+01
Japan,JPN,5.50000000000000E+00,6.19999980926514E+00,6.80000019073486E+00,6.69999980926514E+00,7.80000019073486E+00,9.30000019073486E+00,9.19999980926514E+00,9.69999980926514E+00,1.01000003814697E+01,1.01000003814697E+01,9.60000038146973E+00,8.60000038146973E+00,8.00000000000000E+00,7.80000019073486E+00,7.19999980926514E+00,9.00000000000000E+00,9.10000038146973E+00,8.00000000000000E+00,7.80000019073486E+00,6.80000019073486E+00,6.50000000000000E+00
