Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,4.94000000000000E+01,4.63000000000000E+01,4.32000000000000E+01,4.02000000000000E+01,3.72000000000000E+01,3.45000000000000E+01,3.20000000000000E+01,2.96000000000000E+01,2.74000000000000E+01,2.54000000000000E+01,2.36000000000000E+01,2.19000000000000E+01,2.04000000000000E+01,1.92000000000000E+01,1.81000000000000E+01,1.72000000000000E+01,1.66000000000000E+01,1.62000000000000E+01,1.60000000000000E+01,1.60000000000000E+01,1.62000000000000E+01
Canada,CAN,7.20000000000000E+00,6.90000000000000E+00,6.70000000000000E+00,6.50000000000000E+00,6.40000000000000E+00,6.30000000000000E+00,6.20000000000000E+00,6.20000000000000E+00,6.20000000000000E+00,6.10000000000000E+00,6.10000000000000E+00,6.10000000000000E+00,6.00000000000000E+00,5.90000000000000E+00,5.80000000000000E+00,5.70000000000000E+00,5.60000000000000E+00,5.40000000000000E+00,5.30000000000000E+00,5.20000000000000E+00,5.00000000000000E+00
China,CHN,4.93000000000000E+01,4.75000000000000E+01,4.56000000000000E+01,4.36000000000000E+01,4.15000000000000E+01,3.93000000000000E+01,3.69000000000000E+01,3.43000000000000E+01,3.16000000000000E+01,2.89000000000000E+01,2.63000000000000E+01,2.40000000000000E+01,2.19000000000000E+01,2.01000000000000E+01,1.85000000000000E+01,1.70000000000000E+01,1.57000000000000E+01,1.45000000000000E+01,1.34000000000000E+01,1.23000000000000E+01,1.14000000000000E+01
France,FRA,7.00000000000000E+00,6.50000000000000E+00,6.10000000000000E+00,5.80000000000000E+00,5.60000000000000E+00,5.50000000000000E+00,5.40000000000000E+00,5.30000000000000E+00,5.10000000000000E+00,4.90000000000000E+00,4.70000000000000E+00,4.60000000000000E+00,4.50000000000000E+00,4.40000000000000E+00,4.30000000000000E+00,4.30000000000000E+00,4.30000000000000E+00,4.30000000000000E+00,4.30000000000000E+00,4.40000000000000E+00,4.40000000000000E+00
Germany,DEU,6.80000000000000E+00,6.50000000000000E+00,6.20000000000000E+00,5.90000000000000E+00,5.70000000000000E+00,5.50000000000000E+00,5.40000000000000E+00,5.20000000000000E+00,5.10000000000000E+00,5.00000000000000E+00,4.90000000000000E+00,4.70000000000000E+00,4.60000000000000E+00,4.50000000000000E+00,4.40000000000000E+00,4.30000000000000E+00,4.20000000000000E+00,4.10000000000000E+00,4.00000000000000E+00,3.90000000000000E+00,3.80000000000000E+00
India,IND,1.12100000000000E+02,1.08700000000000E+02,1.05300000000000E+02,1.01900000000000E+02,9.83000000000000E+01,9.48000000000000E+01,9.12000000000000E+01,8.77000000000000E+01,8.43000000000000E+01,8.10000000000000E+01,7.77000000000000E+01,7.46000000000000E+01,7.15000000000000E+01,6.85000000000000E+01,6.56000000000000E+01,6.27000000000000E+01,5.99000000000000E+01,5.72000000000000E+01,5.45000000000000E+01,5.21000000000000E+01,4.98000000000000E+01
Italy,ITA,8.00000000000000E+00,7.50000000000000E+00,7.00000000000000E+00,6.60000000000000E+00,6.20000000000000E+00,5.90000000000000E+00,5.50000000000000E+00,5.20000000000000E+00,5.00000000000000E+00,4.70000000000000E+00,4.50000000000000E+00,4.40000000000000E+00,4.30000000000000E+00,4.20000000000000E+00,4.10000000000000E+00,4.10000000000000E+00,4.00000000000000E+00,3.90000000000000E+00,3.80000000000000E+00,3.70000000000000E+00,3.60000000000000E+00
Japan,JPN,5.90000000000000E+00,5.70000000000000E+00,5.50000000000000E+00,5.20000000000000E+00,5.00000000000000E+00,4.70000000000000E+00,4.50000000000000E+00,4.30000000000000E+00,4.10000000000000E+00,4.00000000000000E+00,3.90000000000000E+00,3.70000000000000E+00,3.60000000000000E+00,3.50000000000000E+00,3.40000000000000E+00,3.30000000000000E+00,3.20000000000000E+00,3.40000000000000E+00,3.00000000000000E+00,2.90000000000000E+00,2.80000000000000E+00
