Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,,5.42999992370605E+01,5.57000007629395E+01,5.57999992370605E+01,5.65000000000000E+01,5.65000000000000E+01,5.90999984741211E+01,5.94000015258789E+01,5.77999992370605E+01,5.82000007629395E+01,5.77999992370605E+01,5.79000015258789E+01,5.90999984741211E+01,5.95000000000000E+01,5.97000007629395E+01,6.07000007629395E+01,7.53000030517578E+01,6.24000015258789E+01,6.27000007629395E+01,6.29000015258789E+01,7.65999984741210E+01
Canada,CAN,7.34000015258789E+01,7.33000030517578E+01,7.35000000000000E+01,7.33000030517578E+01,7.34000015258789E+01,7.35999984741210E+01,7.35999984741210E+01,7.48000030517578E+01,7.46999969482422E+01,7.50000000000000E+01,7.50000000000000E+01,7.51999969482422E+01,7.58000030517578E+01,7.64000015258789E+01,7.66999969482422E+01,7.78000030517578E+01,7.80999984741210E+01,7.80000000000000E+01,7.78000030517578E+01,7.80000000000000E+01,7.81999969482422E+01
China,CHN,1.15000000000000E+01,1.21999998092651E+01,1.26999998092651E+01,1.31000003814697E+01,1.28000001907349E+01,1.28999996185303E+01,1.26999998092651E+01,1.26999998092651E+01,1.61000003814697E+01,5.05000000000000E+01,5.02999992370605E+01,4.95000000000000E+01,4.89000015258789E+01,4.85999984741211E+01,4.92999992370605E+01,4.90999984741211E+01,4.87999992370605E+01,4.70000000000000E+01,,,
France,FRA,6.79000015258789E+01,6.80999984741210E+01,6.85999984741210E+01,6.88000030517578E+01,6.91999969482422E+01,6.95000000000000E+01,6.95999984741210E+01,6.99000015258789E+01,7.05000000000000E+01,7.10999984741210E+01,7.16999969482422E+01,7.23000030517578E+01,7.23000030517578E+01,7.30999984741210E+01,7.35999984741210E+01,7.40000000000000E+01,7.44000015258789E+01,7.45999984741210E+01,7.49000015258789E+01,7.49000015258789E+01,7.58000030517578E+01
Germany,DEU,5.97999992370605E+01,6.07999992370605E+01,6.17999992370605E+01,6.24000015258789E+01,6.27999992370605E+01,6.32999992370605E+01,6.39000015258789E+01,6.45999984741210E+01,6.50999984741210E+01,6.61999969482422E+01,6.64000015258789E+01,6.78000030517578E+01,6.80000000000000E+01,6.78000030517578E+01,6.88000030517578E+01,6.95000000000000E+01,6.99000015258789E+01,7.00000000000000E+01,7.01999969482422E+01,7.06999969482422E+01,7.04000015258789E+01
India,IND,2.20000000000000E+01,,,,,,2.40000000000000E+01,,,,,2.52000007629395E+01,,,,,2.66000003814697E+01,,2.81000003814697E+01,2.87000007629395E+01,
Italy,ITA,5.92999992370605E+01,5.97999992370605E+01,6.05000000000000E+01,6.15000000000000E+01,6.15000000000000E+01,6.22000007629395E+01,6.30000000000000E+01,6.30999984741211E+01,6.35000000000000E+01,6.35000000000000E+01,6.50000000000000E+01,6.50999984741210E+01,6.56999969482422E+01,6.59000015258789E+01,6.65000000000000E+01,6.70999984741210E+01,6.75999984741210E+01,6.80000000000000E+01,6.86999969482422E+01,6.94000015258789E+01,6.95000000000000E+01
Japan,JPN,5.97000007629395E+01,6.04000015258789E+01,6.07999992370605E+01,6.10999984741211E+01,6.20999984741211E+01,6.25000000000000E+01,6.30999984741211E+01,6.39000015258789E+01,6.48000030517578E+01,6.48000030517578E+01,6.55000000000000E+01,6.60000000000000E+01,6.60999984741210E+01,6.63000030517578E+01,6.68000030517578E+01,6.88000030517578E+01,6.95000000000000E+01,,6.91999969482422E+01,6.90999984741210E+01,
