Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,5.20999984741211E+01,5.20000000000000E+01,5.02999992370605E+01,5.09000015258789E+01,5.10999984741211E+01,5.20999984741211E+01,5.15999984741211E+01,5.12000007629395E+01,5.29000015258789E+01,5.29000015258789E+01,5.45000000000000E+01,5.60999984741211E+01,5.50999984741211E+01,5.50000000000000E+01,5.47000007629395E+01,5.45000000000000E+01,5.47999992370605E+01,5.47999992370605E+01,5.47000007629395E+01,5.45999984741211E+01,5.45999984741211E+01
Canada,CAN,6.17999992370605E+01,6.12999992370605E+01,6.04000015258789E+01,5.92000007629395E+01,6.00999984741211E+01,6.15999984741211E+01,6.29000015258789E+01,6.32000007629395E+01,6.51999969482422E+01,6.63000030517578E+01,6.59000015258789E+01,6.56999969482422E+01,6.63000030517578E+01,6.65999984741210E+01,6.70999984741210E+01,6.53000030517578E+01,6.45999984741210E+01,6.43000030517578E+01,6.34000015258789E+01,6.35999984741211E+01,6.39000015258789E+01
China,CHN,7.65000000000000E+01,7.55999984741210E+01,7.44000015258789E+01,7.30000000000000E+01,7.13000030517578E+01,6.95000000000000E+01,6.76999969482422E+01,6.54000015258789E+01,6.32999992370605E+01,6.12000007629395E+01,5.94000015258789E+01,5.79000015258789E+01,5.67000007629395E+01,5.57000007629395E+01,5.49000015258789E+01,5.40000000000000E+01,5.27999992370605E+01,5.34000015258789E+01,5.37000007629395E+01,5.39000015258789E+01,5.39000015258789E+01
France,FRA,3.50999984741211E+01,3.47000007629395E+01,3.37000007629395E+01,3.24000015258789E+01,3.17999992370605E+01,3.18999996185303E+01,3.17000007629395E+01,3.11000003814697E+01,3.15000000000000E+01,3.27000007629395E+01,3.29000015258789E+01,3.44000015258789E+01,3.45000000000000E+01,3.55000000000000E+01,3.52999992370605E+01,3.65999984741211E+01,3.55999984741211E+01,3.50000000000000E+01,3.42999992370605E+01,3.44000015258789E+01,3.45999984741211E+01
Germany,DEU,5.25999984741211E+01,5.00000000000000E+01,4.79000015258789E+01,4.74000015258789E+01,4.72999992370605E+01,4.85999984741211E+01,4.84000015258789E+01,4.80999984741211E+01,4.67000007629395E+01,4.47999992370605E+01,4.52999992370605E+01,4.72000007629395E+01,4.82999992370605E+01,4.97000007629395E+01,5.00999984741211E+01,4.95000000000000E+01,4.87999992370605E+01,4.95999984741211E+01,4.77999992370605E+01,4.77999992370605E+01,4.79000015258789E+01
India,IND,2.96000003814697E+01,2.90000000000000E+01,2.85000000000000E+01,2.78999996185303E+01,2.73999996185303E+01,2.68999996185303E+01,2.63999996185303E+01,2.67000007629395E+01,2.70000000000000E+01,2.72999992370605E+01,2.76000003814697E+01,2.78999996185303E+01,2.60000000000000E+01,2.42000007629395E+01,2.25000000000000E+01,2.08999996185303E+01,1.93999996185303E+01,1.85000000000000E+01,1.76000003814697E+01,1.76000003814697E+01,1.76000003814697E+01
Italy,ITA,3.45999984741211E+01,3.40000000000000E+01,3.42000007629395E+01,3.39000015258789E+01,3.30000000000000E+01,3.35999984741211E+01,3.37999992370605E+01,3.24000015258789E+01,3.08999996185303E+01,3.00000000000000E+01,3.17999992370605E+01,2.86000003814697E+01,2.68999996185303E+01,2.56000003814697E+01,2.58999996185303E+01,2.40000000000000E+01,2.33999996185303E+01,2.27999992370605E+01,2.37999992370605E+01,2.42000007629395E+01,2.45000000000000E+01
Japan,JPN,4.72000007629395E+01,4.72999992370605E+01,4.75000000000000E+01,4.75000000000000E+01,4.75000000000000E+01,4.64000015258789E+01,4.62999992370605E+01,4.62999992370605E+01,4.49000015258789E+01,4.45999984741211E+01,4.42999992370605E+01,4.50000000000000E+01,4.52000007629395E+01,4.47000007629395E+01,4.47999992370605E+01,4.49000015258789E+01,4.40000000000000E+01,4.32999992370605E+01,4.27000007629395E+01,4.35999984741211E+01,4.35000000000000E+01
