Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,1.41000003814697E+01,1.41000003814697E+01,1.61000003814697E+01,1.82999992370605E+01,2.22000007629395E+01,2.27999992370605E+01,2.27000007629395E+01,2.22999992370605E+01,2.27000007629395E+01,2.45000000000000E+01,2.32999992370605E+01,2.50000000000000E+01,2.30000000000000E+01,2.18999996185303E+01,2.03999996185303E+01,2.31000003814697E+01,2.22999992370605E+01,1.95000000000000E+01,1.87000007629395E+01,1.82999992370605E+01,1.90000000000000E+01
Canada,CAN,1.36999998092651E+01,1.33000001907349E+01,1.38000001907349E+01,1.53000001907349E+01,1.36000003814697E+01,1.26999998092651E+01,1.13999996185303E+01,1.11000003814697E+01,1.18000001907349E+01,1.18999996185303E+01,1.18999996185303E+01,1.05000000000000E+01,1.03999996185303E+01,9.89999961853027E+00,9.89999961853027E+00,1.23999996185303E+01,1.23999996185303E+01,1.23000001907349E+01,1.26000003814697E+01,1.23000001907349E+01,1.20000000000000E+01
China,CHN,6.90000009536743E+00,7.30000019073486E+00,7.40000009536743E+00,7.50000000000000E+00,7.80000019073486E+00,7.80000019073486E+00,7.59999990463257E+00,7.69999980926514E+00,7.50000000000000E+00,7.30000019073486E+00,7.30000019073486E+00,7.00000000000000E+00,6.80000019073486E+00,6.50000000000000E+00,7.40000009536743E+00,7.50000000000000E+00,7.30000019073486E+00,7.50000000000000E+00,7.80000019073486E+00,8.10000038146973E+00,8.50000000000000E+00
France,FRA,3.01000003814697E+01,3.01000003814697E+01,3.00000000000000E+01,3.07999992370605E+01,2.82000007629395E+01,2.82000007629395E+01,2.25000000000000E+01,2.05000000000000E+01,2.07999992370605E+01,1.87999992370605E+01,2.02999992370605E+01,2.17999992370605E+01,2.28999996185303E+01,1.98999996185303E+01,1.85000000000000E+01,2.20000000000000E+01,2.33999996185303E+01,2.30000000000000E+01,2.37000007629395E+01,2.50000000000000E+01,2.25000000000000E+01
Germany,DEU,8.30000019073486E+00,8.00000000000000E+00,9.10000038146973E+00,9.60000038146973E+00,8.19999980926514E+00,7.90000009536743E+00,7.40000009536743E+00,7.09999990463257E+00,8.00000000000000E+00,8.60000038146973E+00,1.08000001907349E+01,1.38999996185303E+01,1.26000003814697E+01,1.10000000000000E+01,1.00000000000000E+01,9.69999980926514E+00,8.80000019073486E+00,7.80000019073486E+00,7.40000009536743E+00,7.00000000000000E+00,6.90000009536743E+00
India,IND,8.00000000000000E+00,8.89999961853027E+00,8.80000019073486E+00,9.60000038146973E+00,1.15000000000000E+01,1.01999998092651E+01,1.01000003814697E+01,1.13999996185303E+01,1.01000003814697E+01,9.00000000000000E+00,9.00000000000000E+00,1.03999996185303E+01,1.03999996185303E+01,8.80000019073486E+00,1.01000003814697E+01,9.80000019073486E+00,1.13999996185303E+01,1.15000000000000E+01,1.16000003814697E+01,1.11000003814697E+01,1.10000000000000E+01
Italy,ITA,3.55000000000000E+01,3.80999984741211E+01,3.95000000000000E+01,4.05999984741211E+01,3.82999992370605E+01,3.82999992370605E+01,3.52000007629395E+01,3.15000000000000E+01,3.16000003814697E+01,3.12000007629395E+01,2.91000003814697E+01,2.73999996185303E+01,2.52999992370605E+01,2.33999996185303E+01,2.47000007629395E+01,2.87999992370605E+01,2.93999996185303E+01,3.20000000000000E+01,3.75000000000000E+01,4.10000000000000E+01,4.57999992370605E+01
Japan,JPN,5.30000019073486E+00,6.19999980926514E+00,6.80000019073486E+00,6.40000009536743E+00,7.30000019073486E+00,8.19999980926514E+00,7.90000009536743E+00,8.69999980926514E+00,8.69999980926514E+00,8.50000000000000E+00,8.39999961853027E+00,7.40000009536743E+00,7.19999980926514E+00,7.19999980926514E+00,6.50000000000000E+00,7.90000009536743E+00,7.90000009536743E+00,7.09999990463257E+00,7.00000000000000E+00,5.90000009536743E+00,5.69999980926514E+00
