Country Name, Country Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,9.69999980926514E+00,9.69999980926514E+00,1.03000001907349E+01,1.16999998092651E+01,1.38000001907349E+01,1.50000000000000E+01,1.48999996185303E+01,1.46000003814697E+01,1.46000003814697E+01,1.51000003814697E+01,1.41999998092651E+01,1.53999996185303E+01,1.38000001907349E+01,1.28999996185303E+01,1.18999996185303E+01,1.38999996185303E+01,1.35000000000000E+01,1.20000000000000E+01,1.11999998092651E+01,1.20000000000000E+01,1.23000001907349E+01
Canada,CAN,1.78999996185303E+01,1.63999996185303E+01,1.68999996185303E+01,1.71000003814697E+01,1.66000003814697E+01,1.53000001907349E+01,1.38000001907349E+01,1.43999996185303E+01,1.55000000000000E+01,1.53999996185303E+01,1.50000000000000E+01,1.41000003814697E+01,1.28999996185303E+01,1.21999998092651E+01,1.30000000000000E+01,1.81000003814697E+01,1.71000003814697E+01,1.58000001907349E+01,1.58999996185303E+01,1.51999998092651E+01,1.46999998092651E+01
China,CHN,9.80000019073486E+00,1.03999996185303E+01,1.06000003814697E+01,1.08000001907349E+01,1.11999998092651E+01,1.11999998092651E+01,1.08999996185303E+01,1.10000000000000E+01,1.06999998092651E+01,1.03999996185303E+01,1.03999996185303E+01,1.01000003814697E+01,9.69999980926514E+00,9.19999980926514E+00,1.06000003814697E+01,1.08000001907349E+01,1.03999996185303E+01,1.08000001907349E+01,1.13000001907349E+01,1.16999998092651E+01,1.21000003814697E+01
France,FRA,2.67999992370605E+01,2.32999992370605E+01,2.47999992370605E+01,2.67000007629395E+01,2.38999996185303E+01,2.47000007629395E+01,1.88999996185303E+01,1.60000000000000E+01,1.75000000000000E+01,1.65000000000000E+01,1.96000003814697E+01,1.93999996185303E+01,2.01000003814697E+01,1.81000003814697E+01,1.82999992370605E+01,2.37000007629395E+01,2.20000000000000E+01,2.10000000000000E+01,2.38999996185303E+01,2.27000007629395E+01,2.51000003814697E+01
Germany,DEU,8.19999980926514E+00,8.30000019073486E+00,9.69999980926514E+00,1.06999998092651E+01,9.69999980926514E+00,9.30000019073486E+00,9.10000038146973E+00,9.30000019073486E+00,1.13999996185303E+01,1.23999996185303E+01,1.41999998092651E+01,1.60000000000000E+01,1.43000001907349E+01,1.21000003814697E+01,1.06999998092651E+01,1.18999996185303E+01,1.03999996185303E+01,9.00000000000000E+00,8.69999980926514E+00,8.50000000000000E+00,8.10000038146973E+00
India,IND,8.30000019073486E+00,9.00000000000000E+00,9.00000000000000E+00,9.50000000000000E+00,1.01000003814697E+01,1.00000000000000E+01,9.89999961853027E+00,1.01999998092651E+01,9.80000019073486E+00,9.00000000000000E+00,9.10000038146973E+00,9.80000019073486E+00,9.80000019073486E+00,8.89999961853027E+00,9.89999961853027E+00,9.69999980926514E+00,9.80000019073486E+00,9.89999961853027E+00,1.03999996185303E+01,1.01000003814697E+01,1.01999998092651E+01
Italy,ITA,2.86000003814697E+01,2.97000007629395E+01,3.06000003814697E+01,2.97000007629395E+01,3.01000003814697E+01,2.86000003814697E+01,2.82999992370605E+01,2.47000007629395E+01,2.37000007629395E+01,2.40000000000000E+01,2.12999992370605E+01,2.15000000000000E+01,1.91000003814697E+01,1.82999992370605E+01,1.88999996185303E+01,2.32999992370605E+01,2.67999992370605E+01,2.71000003814697E+01,3.37000007629395E+01,3.87000007629395E+01,4.30000000000000E+01
Japan,JPN,5.59999990463257E+00,6.19999980926514E+00,6.90000009536743E+00,7.00000000000000E+00,8.19999980926514E+00,1.03999996185303E+01,1.03999996185303E+01,1.06999998092651E+01,1.13999996185303E+01,1.15000000000000E+01,1.06999998092651E+01,9.80000019073486E+00,8.80000019073486E+00,8.39999961853027E+00,7.90000009536743E+00,1.00000000000000E+01,1.03000001907349E+01,8.89999961853027E+00,8.60000038146973E+00,7.59999990463257E+00,7.40000009536743E+00
